!Kheis	Kheis
gin-en-tonicsmaak	gin-en-tonic-smaak
ginikoëffisiënt	gini-koëffisiënt
ginikoëffisiënt	Gini-koëffisiënt
glacéhandskoen	glacé-handskoen
glacéhandskoene	glacé-handskoene
glas-in-loodkuns	glas-in-lood-kuns
gliserieltriërukaat	gliseriel-triërukaat
gliseroltrioleaat	gliserol-trioleaat
gloeilampstraatverligting	gloeilamp-straatverligting
godsdiensgedrewe	godsdiens-gedrewe
godsdiensgeïnspireer	godsdiens-geïnspireer
godsdiensgeïnspireerd	godsdiens-geïnspireerd
godsdiensgeïnspireerde	godsdiens-geïnspireerde
Goedjarat	Gujarat
Goedjarati	Gujarati
Goedjarati's	Gujarati's
Goedjarats	Gujarats
Goedjaratse	Gujaratse
Goegapnatuurreservaat	Goegap-natuurreservaat
Goeie_Hoopstraat	Goeie_Hoop-straat
goeienuusstorie	goeienuus-storie
goeienuusstories	goeienuus-stories
goël	gogel
goëlaar	gogelaar
goëlaars	gogelaars
goëlbal	gogelbal
goëlballe	gogelballe
goëlery	gogelary
goëlkuns	gogelkuns
goëlkunstenaar	gogelkunstenaar
goëlkunstenaars	gogelkunstenaars
Goethe-Instituut	Goethe-instituut
goethiet	ghoetiet
Goewermentskennisgewing	goewermentskennisgewing
Goewermentskennisgewinge	goewermentskennisgewinge
Goewermentskennisgewings	goewermentskennisgewings
goiingsak	goiensak
goiingsakke	goiensakke
Golf_van_Guinee	Golf_van_Guineë
golf-deeltjiedualiteit	golf-deeltjie-dualiteit
Gondwanareservaat	Gondwana-reservaat
Goodnowsaal	Goodnow-saal
Goodyearpark	Goodyear-park
gooiassegaai	gooi-assegaai
gooiassegaaie	gooi-assegaaie
goudghieliemientjie	goud-ghieliemientjie
goudghieliemientjies	goud-ghieliemientjies
goud-silwerlegering	goud-silwer-legering
Gougheiland	Gough-eiland
gourmeteetplek	gourmet-eetplek
gourmeteetplekke	gourmet-eetplekke
Govan_Mbekirylaan	Govan_Mbeki-rylaan
graad_10-eksamen	Graad_10-eksamen
graad_10-eksamens	Graad_10-eksamens
graad_10-leerder	Graad_10-leerder
graad_10-leerders	Graad_10-leerders
graad_10-leerling	Graad_10-leerling
graad_10-leerlinge	Graad_10-leerlinge
graad_10-slaagsyfer	Graad_10-slaagsyfer
graad_10-slaagsyfers	Graad_10-slaagsyfers
graad_11-groep	Graad_11-groep
graad_11-groepe	Graad_11-groepe
graad_11-leerder	Graad_11-leerder
graad_11-leerders	Graad_11-leerders
graad_11-leerling	Graad_11-leerling
graad_11-leerlinge	Graad_11-leerlinge
graad_12-eksamen	Graad_12-eksamen
graad_12-eksamens	Graad_12-eksamens
graad_12-leerder	Graad_12-leerder
graad_12-leerders	Graad_12-leerders
graad_12-leerling	Graad_12-leerling
graad_12-leerlinge	Graad_12-leerlinge
graad_12-onderwerp	Graad_12-onderwerp
graad_12-onderwerpe	Graad_12-onderwerpe
graad_12-slaagsyfer	Graad_12-slaagsyfer
graad_12-slaagsyfers	Graad_12-slaagsyfers
graad_1-leerder	Graad_1-leerder
graad_1-leerders	Graad_1-leerders
graad_1-leerling	Graad_1-leerling
graad_1-leerlinge	Graad_1-leerlinge
graad_2-leerder	Graad_2-leerder
graad_2-leerders	Graad_2-leerders
graad_2-leerling	Graad_2-leerling
graad_2-leerlinge	Graad_2-leerlinge
graad_3-leerder	Graad_3-leerder
graad_3-leerders	Graad_3-leerders
graad_3-leerling	Graad_3-leerling
graad_3-leerlinge	Graad_3-leerlinge
graad_4-leerder	Graad_4-leerder
graad_4-leerders	Graad_4-leerders
graad_4-leerling	Graad_4-leerling
graad_4-leerlinge	Graad_4-leerlinge
graad_5-leerder	Graad_5-leerder
graad_5-leerders	Graad_5-leerders
graad_5-leerling	Graad_5-leerling
graad_5-leerlinge	Graad_5-leerlinge
graad_6-leerder	Graad_6-leerder
graad_6-leerders	Graad_6-leerders
graad_6-leerling	Graad_6-leerling
graad_6-leerlinge	Graad_6-leerlinge
graad_7-leerder	Graad_7-leerder
graad_7-leerders	Graad_7-leerders
graad_7-leerling	Graad_7-leerling
graad_7-leerlinge	Graad_7-leerlinge
graad_8-leerder	Graad_8-leerder
graad_8-leerders	Graad_8-leerders
graad_8-leerling	Graad_8-leerling
graad_8-leerlinge	Graad_8-leerlinge
graad_9-leerder	Graad_9-leerder
graad_9-leerders	Graad_9-leerders
graad_9-leerling	Graad_9-leerling
graad_9-leerlinge	Graad_9-leerlinge
grafeem-na-foneemreël	grafeem-na-foneem-reël
grafeem-na-foneemreëls	grafeem-na-foneem-reëls
graffitikuns	graffiti-kuns
graffitiopskrif	graffiti-opskrif
graffitiopskrifte	graffiti-opskrifte
gramkalorie	gram-kalorie
gramkalorieë	gram-kalorieë
grammeter	gram-meter
Grammybenoeming	Grammy-benoeming
Grammybenoeminge	Grammy-benoeminge
Grammybenoemings	Grammy-benoemings
gramsentimeter	gram-sentimeter
grand_cru	Grand_cru
Grand_Prixbyeenkoms	Grand_Prix-byeenkoms
Grand_Prixbyeenkomste	Grand_Prix-byeenkomste
Grand_Slamtoernooi	Grand_Slam-toernooi
Grand_Slamtoernooie	Grand_Slam-toernooie
Graspannatuurreservaat	Graspan-natuurreservaat
grassmannveranderlike	Grassmann-veranderlike
grassmannveranderlikes	Grassmann-veranderlikes
gravisaksent	gravis-aksent
gravisaksente	gravis-aksente
Grenstechnikon	Grens-technikon
grenstipepersoonlikheidsteuring	grenstipe-persoonlikheidsteuring
grenstipepersoonlikheidsteuringe	grenstipe-persoonlikheidsteuringe
grenstipepersoonlikheidsteurings	grenstipe-persoonlikheidsteurings
grenstipepersoonlikheidstoring	grenstipe-persoonlikheidstoring
grenstipepersoonlikheidstoringe	grenstipe-persoonlikheidstoringe
grenstipepersoonlikheidstorings	grenstipe-persoonlikheidstorings
Greykollege	Grey-kollege
Grieks-Sipries	Grieks-Cipries
Grieks-Sipriese	Grieks-Cipriese
Grieks-Siprioot	Grieks-Ciprioot
Grieks-Sipriote	Grieks-Cipriote
Grieks-Siprioties	Grieks-Ciprioties
Grieks-Sipriotiese	Grieks-Cipriotiese
Griekwagemeenskap	Griekwa-gemeenskap
Griekwagroep	Griekwa-groep
Griekwagroepe	Griekwa-groepe
Griekwatrek	Griekwa-trek
griepepidemie	griep-epidemie
griepepidemies	griep-epidemies
groeiinhibeerder	groei-inhibeerder
groeiinhibeerders	groei-inhibeerders
Groen_Rewolusie	Groen_Revolusie
Groenkloofnatuurreservaat	Groenkloof-natuurreservaat
Groenriviermondvuurtoring	Groenriviermond-vuurtoring
groenrugkwê-kwêvoël	groenrugkwêkwêvoël
groenrugkwê-kwêvoël	groenrug-kwêkwêvoël
groenrugkwê-kwêvoël	groenrug-kwê-kwêvoël
groenrugkwê-kwêvoëls	groenrugkwêkwêvoëls
groenrugkwê-kwêvoëls	groenrug-kwêkwêvoëls
groenrugkwê-kwêvoëls	groenrug-kwê-kwêvoëls
groentestalletjie	groente-stalletjie
groentestalletjies	groente-stalletjies
grond-lugmissiel	grond-lug-missiel
grond-lugmissiele	grond-lug-missiele
grond-lugprojektiel	grond-lug-projektiel
grond-lugprojektiele	grond-lug-projektiele
grond-tot-lugmissiel	grond-tot-lug-missiel
grond-tot-lugmissiele	grond-tot-lug-missiele
grondwetgebaseer	grondwet-gebaseer
grondwetgebaseerde	grondwet-gebaseerde
Groot_Antille	Groot-Antille
Groot_Aub	Groot-Aub
Groot_Constantia	Groot-Constantia
Groot_Hantam	Groot-Hantam
Groot_Hartsrivier	Groot-Hartsrivier
Groot_Koraalrif	Groot-Koraalrif
Groot_Marico	Groot-Marico
Groot_Meregebied	Groot_Mere-gebied
Groot_Skeurvallei	Groot_Skeur-vallei
Groot_Soendaeilande	Groot_Soenda-eilande
Groot_Vetrivier	Groot-Vetrivier
Groot_Visrivier	Groot-Visrivier
Groot_Winterhoekberge	Groot-Winterhoekberge
grootkalibervuurwapen	grootkaliber-vuurwapen
grootkalibervuurwapens	grootkaliber-vuurwapens
Groot-Karooplantegroei	Groot-Karoo-plantegroei
grootmaatlewering	grootmaat-lewering
grootmaatleweringe	grootmaat-leweringe
grootmaatlewerings	grootmaat-lewerings
Groot-Namakwaland	Groot_Namakwaland
grootskubharder	grootskub-harder
grootskubharders	grootskub-harders
Groot-Vispuntvuurtoring	Groot-Vispunt-vuurtoring
grubotsing	gru-botsing
grubotsinge	gru-botsinge
grubotsings	gru-botsings
gruongeluk	gru-ongeluk
gruongelukke	gru-ongelukke
gruplaasmoord	gru-plaasmoord
gruplaasmoorde	gru-plaasmoorde
gruslagting	gru-slagting
gruvoorval	gru-voorval
gruvoorvalle	gru-voorvalle
gryp-en-spaandervoorval	gryp-en-spaander-voorval
gryp-en-spaandervoorvalle	gryp-en-spaander-voorvalle
grysrugkwê-kwêvoël	grysrugkwêkwêvoël
grysrugkwê-kwêvoël	grysrug-kwêkwêvoël
grysrugkwê-kwêvoël	grysrug-kwê-kwêvoël
grysrugkwê-kwêvoëls	grysrugkwêkwêvoëls
grysrugkwê-kwêvoëls	grysrug-kwêkwêvoëls
grysrugkwê-kwêvoëls	grysrug-kwê-kwêvoëls
Guarani	Guaraní
Guggenheimmuseum	Guggenheim-museum
Gugulethu	Guguletu
gulde	gulden
gunstelingafleweraar	gunsteling-afleweraar
gunstelingafleweraars	gunsteling-afleweraars
gunstelingbesienswaardighede	gunsteling-besienswaardighede
gunstelingbesienswaardigheid	gunsteling-besienswaardigheid
gunstelingbesighede	gunsteling-besighede
gunstelingbesigheid	gunsteling-besigheid
gunstelingdigter	gunsteling-digter
gunstelingdigters	gunsteling-digters
gunstelingsanger	gunsteling-sanger
gunstelingsangers	gunsteling-sangers
gunstelingstraatverkoper	gunsteling-straatverkoper
gunstelingstraatverkopers	gunsteling-straatverkopers
gut_feeling	Gut_feeling
Guyanees	Guianees
Guyanese	Guianese
gyselwareaanval	gyselware-aanval
gyselwareaanvalle	gyselware-aanvalle
H.B.A.	HBA
H.D.B.	HDB
H.F._Verwoerdstraat	H.F._Verwoerd-straat
H.F._Verwoerdstraat	HF_Verwoerdstraat
H.F._Verwoerdstraat	HF_Verwoerd-straat
haaiaanval	haai-aanval
haaiaanvalle	haai-aanvalle
haaiaktiwiteit	haai-aktiwiteit
haaiegeveg	haaie-geveg
haaiwaarskuwing	haai-waarskuwing
haaiwaarskuwinge	haai-waarskuwinge
haaiwaarskuwings	haai-waarskuwings
haak-en-steekbos	haak-en-steek-bos
haak-en-steekbosse	haak-en-steek-bosse
haaraf	haar-af
haarom	haar-om
haars_insiens	Haars_insiens
haartrend	haar-trend
haartrends	haar-trends
habeas_corpus	Habeas_corpus
Hage_Geingobstadion	Hage_Geingob-stadion
Haggada	Haggadah
half_en_half	Half_en_half
half_om_half	Half_om_half
half_om_half	halfomhalf
halfamptelik	half-amptelik
halfamptelike	half-amptelike
halfedelsteen	half-edelsteen
halfedelstene	half-edelstene
halfjaarbegrotingshersiening	halfjaar-begrotingshersiening
halfjaarbegrotingshersienings	halfjaar-begrotingshersienings
halfjaarresultaat	halfjaar-resultaat
halfjaarresultate	halfjaar-resultate
halfmaraton	halfmarathon
halfmaratonne	halfmarathonne
halfmaratons	halfmarathons
halfmities	half-mities
halfmitiese	half-mitiese
halfvokaal	half-vokaal
halfvokale	half-vokale
halfvolwasse	half-volwasse
halleffek	hall-effek
halleffek	Hall-effek
Hallstattbeskawing	Hallstatt-beskawing
halogeengloeilamp	halogeen-gloeilamp
halogeengloeilampe	halogeen-gloeilampe
Hamasbeweging	Hamas-beweging
Hamaslede	Hamas-lede
Hamasleier	Hamas-leier
Hamasleiers	Hamas-leiers
Hamaslid	Hamas-lid
hamba_kahle	Hamba_kahle
ham-en-hoendergereg	ham-en-hoender-gereg
ham-en-hoendergeregte	ham-en-hoender-geregte
hande-viervoet	handeviervoet
Handgewignewel	Handgewig-newel
hand-om-die-nekhek	hand-om-die-nek-hek
hand-om-die-nekhekke	hand-om-die-nek-hekke
handuit	hand-uit
Hannes_Ontongstraat	Hannes_Ontong-straat
Hans_Pirowstraat	Hans_Pirow-straat
Hans_Strijdomlaan	Hans_Strijdom-laan
Hans_Strijdomrylaan	Hans_Strijdom-rylaan
Hans-Dietrich_Genscherstraat	Hans_Dietrich_Genscherstraat
Hans-Dietrich_Genscherstraat	Hans_Dietrich_Genscher-straat
Hans-Dietrich_Genscherstraat	Hans-Dietrich_Genscher-straat
hapax_legomena	Hapax_legomena
hapax_legomena	hapaxlegomena
hapax_legomenon	Hapax_legomenon
hapax_legomenon	hapaxlegomenon
harakiri	hara-kiri
hardebaardpolitici	hardebaard-politici
hardebaardpolitikus	hardebaard-politikus
hardebaardpolitikusse	hardebaard-politikusse
hardebaardstaptog	hardebaard-staptog
hardebaardstaptogte	hardebaard-staptogte
hardebaardvermaak	hardebaard-vermaak
harderotsontginning	harderots-ontginning
hart-bloedvatsiekte	hartbloedvatsiekte
hart-bloedvatsiektes	hartbloedvatsiektes
hart-longmasjien	hart-long-masjien
hart-longmasjiene	hart-long-masjiene
hartseertydperk	hartseer-tydperk
Harvarduniversiteit	Harvard-universiteit
hasieoor	hasie-oor
Hatfieldkampus	Hatfield-kampus
haute_couture	Haute_couture
haut-relief	haut-reliëf
haut-reliefs	haut-reliëfs
Havengabrug	Havenga-brug
Hawai	Hawaii
Hawaiër	Hawaiiër
Hawaiërs	Hawaiiërs
haweontwikkeling	hawe-ontwikkeling
haweowerhede	hawe-owerhede
haweowerheid	hawe-owerheid
heavy_metal	Heavy_metal
hede_ten_dae	Hede_ten_dae
heden_ten_dae	Heden_ten_dae
heen-en-terugreis	heen-en-terug-reis
heen-en-terugreise	heen-en-terug-reise
heen-en-terugvlug	heen-en-terug-vlug
heen-en-terugvlugte	heen-en-terug-vlugte
heen-en-weerbeweging	heen-en-weer-beweging
heen-en-weerbeweginge	heen-en-weer-beweginge
heen-en-weerbewegings	heen-en-weer-bewegings
heen-en-weerdiens	heen-en-weer-diens
heen-en-weerdienste	heen-en-weer-dienste
heen-en-weerreis	heen-en-weer-reis
heen-en-weerreise	heen-en-weer-reise
heen-en-weersteek	heen-en-weer-steek
heen-en-weersteke	heen-en-weer-steke
heksafluorobromaatanione	heksafluorobromaat-anione
heksafluorobromaatanioon	heksafluorobromaat-anioon
heldeontvangs	helde-ontvangs
heldeontvangste	helde-ontvangste
Helen_Josephstraat	Helen_Joseph-straat
Helen_Suzmanboulevard	Helen_Suzman-boulevard
Helen_Suzmanstichting	Helen_Suzman-stichting
helikopterbystand	helikopter-bystand
heliumflits	helium-flits
heliumflitse	helium-flitse
heliumfusiereaksie	helium-fusiereaksie
heliumfusiereaksies	helium-fusiereaksies
heliumontbranding	helium-ontbranding
heliumverbranding	helium-verbranding
hellebardier	hellebaardier
hellebardiers	hellebaardiers
helmholtz-kelvintydskaal	Helmholtz-Kelvintydskaal
helmholtz-kelvintydskaal	Helmholtz-Kelvin-tydskaal
Helpmekaarbeweging	Helpmekaar-beweging
heluit	hel-uit
hematopoiëse	hematopoëse
hematopoiëse	hematopoiese
hemodialisebehandeling	hemodialise-behandeling
hemodialisebehandelinge	hemodialise-behandelinge
hemodialisebehandelings	hemodialise-behandelings
hemopoiëse	hemopoëse
hemopoiëse	hemopoiese
hendiadisgebruik	hendiadis-gebruik
Hendrik_Berghlaan	Hendrik_Bergh-laan
Hendrik_Potgieterstraat	Hendrik_Potgieter-straat
Hendrik_Potgieterweg	Hendrik_Potgieter-weg
Hendrik_Schoemanstraat	Hendrik_Schoeman-straat
Hendrik_Verwoerddam	Hendrik_Verwoerd-dam
Hendrik_Verwoerdpark	Hendrik_Verwoerd-park
Hendrik_Verwoerdrylaan	Hendrik_Verwoerd-rylaan
Hendrik_Verwoerdstraat	Hendrik_Verwoerd-straat
Hendrik_Witbooirylaan	Hendrik_Witbooi-rylaan
Hendrik_Witbooistraat	Hendrik_Witbooi-straat
Henegoue	Henegouwe
Henegouer	Henegouwer
Henegouers	Henegouwers
Henegous	Henegouws
Henegouse	Henegouwse
hennepolie	hennep-olie
Hennie_Britzstraat	Hennie_Britz-straat
hepatitis_A	Hepatitis_A
hepatitis_B	Hepatitis_B
hepatitis_C	Hepatitis_C
hepatitis_E	Hepatitis_E
her_en_der	Her_en_der
Heraklitos	Herakleitos
Hererogemeenskap	Herero-gemeenskap
Hererogemeenskappe	Herero-gemeenskappe
herfskommandowurm	herfs-kommandowurm
herfskommandowurms	herfs-kommandowurms
Herkulaneum	Herculaneum
herkuleaans	herculeaans
herkuleaanse	herculeaanse
herkules	hercules
herkulesarbeid	herculesarbeid
herkulestaak	herculestaak
herkulies	herculies
herkuliese	herculiese
hertoeëiening	hertoe-eiening
hertzoggie	hertsoggie
hertzoggies	hertsoggies
Hertzogprysbekroon	Hertzogprys-bekroon
Hertzogprysbekroonde	Hertzogprys-bekroonde
Hertzogregering	Hertzog-regering
hertzsprung-russelldiagram	Hertzsprung-Russelldiagram
hertzsprung-russelldiagram	Hertzsprung-Russell-diagram
heteronormatief	hetero-normatief
heteronormatiewe	hetero-normatiewe
heteronormatiwiteit	hetero-normatiwiteit
heuwelaf	heuwel-af
heuwelop	heuwel-op
hic_et_nunc	Hic_et_nunc
hic_et_ubique	Hic_et_ubique
hidroniumione	hidronium-ione
hidroniumioon	hidronium-ioon
higgsboson	Higgs-boson
higgsbosone	Higgs-bosone
higgsdeeltjie	Higgs-deeltjie
higgsdeeltjies	Higgs-deeltjies
higgsveld	Higgs-veld
higgsvelde	Higgs-velde
hilbertruimte	Hilbert-ruimte
hilbertruimtes	Hilbert-ruimtes
Hildebrandmonument	Hildebrand-monument
Hillbrowtoring	Hillbrow-toring
hindoefees	Hindu-fees
hindoeman	Hindoe-man
hindoemanne	Hindoe-manne
hindoeseremonie	Hindoe-seremonie
hindoeseremonies	Hindoe-seremonies
hinkende-pinkende	hinkendepinkende
hink-stap-sprong	hinkstapsprong
hink-stap-spronge	hinkstapspronge
hipallagee	hipallage
hipallagees	hipallages
Hiperafrikaans	hiper-Afrikaans
Hiperafrikaanse	hiper-Afrikaanse
hiperkorrek	hiper-korrek
hiperkorrekte	hiper-korrekte
hipermoderniteit	hiper-moderniteit
hipertiroïdisme	hipertiroïedisme
hiphop	hip-hop
hiphopgenre	hip-hopgenre
hiphopgenre	hip-hop-genre
hiphopgenres	hip-hopgenres
hiphopgenres	hip-hop-genres
hiphopgroep	hip-hopgroep
hiphopgroep	hip-hop-groep
hiphopgroepe	hip-hopgroepe
hiphopgroepe	hip-hop-groepe
hiphopkunstenaar	hip-hopkunstenaar
hiphopkunstenaar	hip-hop-kunstenaar
hiphopkunstenaars	hip-hopkunstenaars
hiphopkunstenaars	hip-hop-kunstenaars
hipotesetoetsing	hipotese-toetsing
Hisbollabeweging	Hisbolla-beweging
Ho_Tsji_Minhstad	Ho_Tsji_Minh-stad
Hobameteoriet	Hoba-meteoriet
hoc_anno	Hoc_anno
hoc_loco	Hoc_loco
hodgkinlimfome	Hodgkin-limfome
hodgkinlimfoom	Hodgkin-limfoom
hodgkinsiekte	Hodgkin-siekte
Hodotermes_mossambicus	Hodotermes_mosambicus
hoëdefinisietelevisie	hoëdefinisie-televisie
hoëdefinisietelevisies	hoëdefinisie-televisies
hoëdrukpyp	hoëdruk-pyp
hoëdrukpype	hoëdruk-pype
hoë-energiefisika	hoë-energie-fisika
hoëgehalteproteïen	hoëgehalte-proteïen
hoëgehalteproteïene	hoëgehalte-proteïene
hoëgehalteproteïne	hoëgehalte-proteïne
hoëgehalteproteïnes	hoëgehalte-proteïnes
hoëgehaltepublikasie	hoëgehalte-publikasie
hoëgehaltepublikasies	hoëgehalte-publikasies
hoë-impakbotsing	hoë-impak-botsing
hoenderdykebab	hoenderdy-kebab
hoenderdykebabs	hoenderdy-kebabs
hoendervleisavonture	hoendervleis-avonture
hoendervleisavontuur	hoendervleis-avontuur
hoëoktaanakteur	hoëoktaan-akteur
hoëoktaanakteurs	hoëoktaan-akteurs
hoëoktaanwerkywer	hoëoktaan-werkywer
hoëprofielhofsaak	hoëprofiel-hofsaak
hoëprofielhofsake	hoëprofiel-hofsake
hoëprofielpolitici	hoëprofiel-politici
hoëprofielpolitikus	hoëprofiel-politikus
hoëprofielpolitikusse	hoëprofiel-politikusse
hoëprofielregeringsamptenaar	hoëprofiel-regeringsamptenaar
hoëprofielregeringsamptenare	hoëprofiel-regeringsamptenare
hoëresolusiesyaftassonarbeeld	hoëresolusie-syaftassonarbeeld
hoëresolusiesyaftassonarbeelde	hoëresolusie-syaftassonarbeelde
hoeri	houri
hoeri's	houri's
hoërisikoarea	hoërisiko-area
hoërisikoareas	hoërisiko-areas
hoërisikoswangerskap	hoërisiko-swangerskap
hoërisikoswangerskappe	hoërisiko-swangerskappe
hoërisikoverloskunde	hoërisiko-verloskunde
Hoëronderwyskwaliteitskomitee	Hoëronderwys-kwaliteitskomitee
hoërordedenke	hoërorde-denke
Hoerriet	Choerriet
Hoerriet	Hurriet
Hoerriete	Choerriete
Hoerriete	Hurriete
Hoerrities	Choerrities
Hoerrities	Hurrities
Hoerritiese	Choerritiese
Hoerritiese	Hurritiese
Hoërskool_Carlton-Van_Heerden	Hoërskool_Carlton_van_Heerden
Hoërskool_Carlton-Van_Heerden	Hoërskool_Carlton_Van_Heerden
Hoërskool_Carlton-Van_Heerden	Hoërskool_Carlton-van_Heerden
Hoërskool_D.F._Malan	Hoërskool_DF_Malan
Hoërskool_D.F._Malherbe	Hoërskool_DF_Malherbe
Hoërskool_Eben_Dönges	Hoërskool_Eben_Donges
Hoërskool_J.G._Meiring	Hoërskool_JG_Meiring
Hoërskool_J.W._Luckhoff	Hoërskool_JW_Luckhoff
Hoërskool_Kemptonpark	Hoërskool_Kempton_Park
Hoërskool_Lückhoff	Hoërskool_Luckhoff
Hoërskool_Môrester	Hoërskool_Morester
Hoërskool_P.J._Olivier	Hoërskool_PJ_Olivier
hoërskoolkind	hoërskool-kind
hoërskoolkinders	hoërskool-kinders
hoërvlakeksamen	hoërvlak-eksamen
hoërvlakeksamens	hoërvlak-eksamens
hoërvlakvraestel	hoërvlak-vraestel
hoërvlakvraestelle	hoërvlak-vraestelle
hoësorgeenhede	hoësorg-eenhede
hoësorgeenheid	hoësorg-eenheid
hoëspoedelektron	hoëspoed-elektron
hoëspoedelektrone	hoëspoed-elektrone
hoëspoedongeluk	hoëspoed-ongeluk
hoëspoedongelukke	hoëspoed-ongelukke
hoëtemperatuurtermometer	hoë-temperatuurtermometer
hoëtemperatuurtermometers	hoë-temperatuurtermometers
hoëvlakbespreking	hoëvlak-bespreking
hoëvlakbesprekinge	hoëvlak-besprekinge
hoëvlakbesprekings	hoëvlak-besprekings
hoëvlakgesant	hoëvlak-gesant
hoëvlakgesante	hoëvlak-gesante
hoeweaanval	hoewe-aanval
hoeweaanvalle	hoewe-aanvalle
hofaksie	hof-aksie
hofaksies	hof-aksies
hol-en-dolvoeë	hol-en-dol-voeë
hol-en-dolvoeg	hol-en-dol-voeg
Hollandsopgelei	Hollands-opgelei
Hollandsopgeleid	Hollands-opgeleid
Hollandsopgeleide	Hollands-opgeleide
Hollywoodakteur	Hollywood-akteur
Hollywoodakteurs	Hollywood-akteurs
Hollywoodfilm	Hollywood-film
Hollywoodfilms	Hollywood-films
Hollywoodlegende	Hollywood-legende
Hollywoodlegendes	Hollywood-legendes
Hollywoodster	Hollywood-ster
Hollywoodsterre	Hollywood-sterre
hologramboodskap	hologram-boodskap
hologramboodskappe	hologram-boodskappe
hommeltuigoperateur	hommeltuig-operateur
hommeltuigoperateurs	hommeltuig-operateurs
Homo_erectus	homo_erectus
Homo_floresiensis	homo_floresiensis
Homo_habilis	homo_habilis
Homo_naledi	homo_naledi
Homo_neanderthalensis	homo_neanderthalensis
Homo_sapiens	homo_sapiens
Homo_sapiens_sapiens	homo_sapiens_sapiens
homoërotiek	homo-erotiek
Hongkong	Hong_Kong
Hongkongs	Hong_Kongs
Hongkongse	Hong_Kongse
honoris_causa	Honoris_causa
Hons.B.Ed.	HonsBEd
Hons.B.Sc.	HonsBSc
hoofdialekgroep	hoof-dialekgroep
hoofdialekgroepe	hoof-dialekgroepe
hoofondersoeker	hoof-ondersoeker
hoofondersoekers	hoof-ondersoekers
hoofstroomekonomie	hoofstroom-ekonomie
hoofstroommedia	hoofstroom-media
hoofstudierigting	hoof-studierigting
hoofstudierigtinge	hoof-studierigtinge
hoofstudierigtings	hoof-studierigtings
hoofveeartsenybeampte	hoof-veeartsenybeampte
hoofveeartsenybeamptes	hoof-veeartsenybeamptes
hoofweervoorspeller	hoof-weervoorspeller
hoofweervoorspellers	hoof-weervoorspellers
Hooghollands	Hoog-Hollands
Hooghollandse	Hoog-Hollandse
Hoogmaleis	Hoog-Maleis
hoogskolastiek	hoog-skolastiek
hookah	huqqa
hookahpyp	hookah-payp
hookahpyp	huqqapyp
hookahpyp	huqqa-pyp
hookahpype	hookah-paype
hookahpype	huqqapype
hookahpype	huqqa-pype
hookahs	huqqas
hookahtabak	hookah-tabak
hookahtabak	huqqatabak
hookahtabak	huqqa-tabak
hoorsêgetuienis	hoorsê-getuienis
hoorsêgetuienisse	hoorsê-getuienisse
hopfalgebra	Hopf-algebra
hopfalgebras	Hopf-algebras
horlosieagtig	horlosie-agtig
horlosieagtige	horlosie-agtige
hormoonbelaai	hormoon-belaai
hormoonbelaaide	hormoon-belaaide
horribile_dictu	Horribile_dictu
horribile_visu	Horribile_visu
hors_concours	Hors_concours
hors_de_combat	Hors_de_combat
hors_d'oeuvre	Hors_d'oeuvre
Hosea_Kutakorylaan	Hosea_Kutako-rylaan
Hosea_Kutakoweg	Hosea_Kutako-weg
Hosea_Muroropad	Hosea_Muroro-pad
Hospersa	HOSPERSA
hôtel_de_ville	Hôtel_de_ville
Hottentotstam	Hottentot-stam
Hottentotstamme	Hottentot-stamme
hou_en_trou	Hou_en_trou
hou-jou-bekwet	hou-jou-bek-wet
hou-jou-bekwette	hou-jou-bek-wette
hout-en-sinkhuis	hout-en-sink-huis
hout-en-sinkhuise	hout-en-sink-huise
houtreliëf	houtrelief
houtreliëfs	houtreliefs
hubblekonstante	Hubble-konstante
Hubbleruimteteleskoop	Hubble-ruimteteleskoop
Hugenote_Hoërskool	Hugenote-Hoërskool
Hugenotegedenkmuseum	Hugenote-gedenkmuseum
Hugenotegedenkskool	Hugenote-gedenkskool
Hugenotegedenkskool	Hugenote-Gedenkskool
Hugenotekollege	Hugenote_Kollege
Hugenotekollege	Hugenote-kollege
Hugenoteseminarie	Hugenote-seminarie
Hugenote-Universiteitskollege	Hugenote_Universiteitskollege
Hugenote-Universiteitskollege	Hugenote-universiteitskollege
Hugenotevan	Hugenote-van
Hugenotevanne	Hugenote-vanne
Huguenetteater	Huguenet-teater
huidjie_en_muidjie	Huidjie_en_muidjie
huistaalonderwys	huistaal-onderwys
huis-toe-gaantyd	huis-toe-gaan-tyd
huis-toe-gaantye	huis-toe-gaan-tye
huis-tot-huisverkoop	huis-tot-huis-verkoop
huis-tot-huisverkope	huis-tot-huis-verkope
huitjie_en_muitjie	Huitjie_en_muitjie
hulpbronpakhuis	hulpbron-pakhuis
hulpbronpakhuise	hulpbron-pakhuise
huwelikseiendomreëling	huwelikseiendom-reëling
huwelikseiendomreëlings	huwelikseiendom-reëlings
iBhayi	Ibhayi
id_est	i.e.
id_est	Id_est
IDASA	Idasa
idée_fixe	idee_fixe
idée_fixe	Idee_fixe
idée_fixe	Idée_fixe
idées_fixes	idees_fixes
idées_fixes	Idees_fixes
idées_fixes	Idées_fixes
identifikasiedatabasis	identifikasie-databasis
identifikasiedatabasisse	identifikasie-databasisse
idioëlektries	idio-elektries
idioëlektriese	idio-elektriese
iftaar	iftar
iftaarfeesmaal	iftaar-feesmaal
iftaarfeesmaal	iftarfeesmaal
